Timestamp           | Level    | Location                             | Message
--------------------+----------+--------------------------------------+---------------------------------------------------
2025-06-12 02:41:20 | INFO     | [logger_...:setup_logger      : 153] | ℹ️ Logger 'ImgClassPipe' initialized. Log file: C:\Users\Stefan Alexandrescu\Documents\GitHub\UBB-Y3-AI-Research\model_src\experiments\GCD\shufflenet\20250612_024120_seed42\executor_run_20250612_024120_seed42.log
2025-06-12 02:41:20 | INFO     | [executor  :__init__          : 132] | ℹ️ Local main executor log file for this run (may be temporary): C:\Users\Stefan Alexandrescu\Documents\GitHub\UBB-Y3-AI-Research\model_src\experiments\GCD\shufflenet\20250612_024120_seed42\executor_run_20250612_024120_seed42.log
2025-06-12 02:41:20 | INFO     | [executor  :__init__          : 137] | ℹ️ --- Starting Executor Run (ID: 20250612_024120_seed42) ---
2025-06-12 02:41:20 | INFO     | [executor  :__init__          : 138] | ℹ️ Executor initialized for model 'shufflenet' on dataset 'GCD'
2025-06-12 02:41:20 | INFO     | [executor  :__init__          : 141] | ℹ️ Local artifact storage base: C:\Users\Stefan Alexandrescu\Documents\GitHub\UBB-Y3-AI-Research\model_src
2025-06-12 02:41:20 | INFO     | [executor  :__init__          : 145] | ℹ️ Base key/prefix for this executor run's artifacts: experiments/GCD/shufflenet/20250612_024120_seed42
2025-06-12 02:41:20 | INFO     | [pipeline  :__init__          : 175] | ℹ️ Initializing Classification Pipeline:
2025-06-12 02:41:20 | INFO     | [pipeline  :__init__          : 176] | ℹ️   Dataset Path: C:\Users\Stefan Alexandrescu\Documents\GitHub\UBB-Y3-AI-Research\model_src\data\GCD
2025-06-12 02:41:20 | INFO     | [pipeline  :__init__          : 177] | ℹ️   Model Type: shufflenet
2025-06-12 02:41:20 | INFO     | [pipeline  :__init__          : 180] | ℹ️   Artifact base key prefix for this run: experiments/GCD/shufflenet/20250612_024120_seed42 (using LocalFileSystemRepository)
2025-06-12 02:41:20 | INFO     | [pipeline  :__init__          : 184] | ℹ️   Default Augmentation Strategy: AugmentationStrategy.SKY_ONLY_ROTATION
2025-06-12 02:41:20 | INFO     | [pipeline  :__init__          : 185] | ℹ️   Default Show First Batch Aug: True
2025-06-12 02:41:20 | INFO     | [dataset...:__init__          : 271] | ℹ️ Using augmentation strategy: AugmentationStrategy.SKY_ONLY_ROTATION
2025-06-12 02:41:20 | INFO     | [dataset...:__init__          : 296] | ℹ️ Detected dataset structure: fixed
2025-06-12 02:41:20 | INFO     | [dataset...:_load_paths_and...: 459] | ℹ️ Scanning FIXED dataset from C:\Users\Stefan Alexandrescu\Documents\GitHub\UBB-Y3-AI-Research\model_src\data\GCD\train (train) and C:\Users\Stefan Alexandrescu\Documents\GitHub\UBB-Y3-AI-Research\model_src\data\GCD\test (test)...
2025-06-12 02:41:20 | INFO     | [dataset...:_load_paths_and...: 518] | ℹ️ Final Original Dataset sizes: 10000 original train+val, 9000 original test. Offline augmented samples loaded: 0.
2025-06-12 02:41:20 | INFO     | [dataset...:__init__          : 319] | ℹ️ Found 7 classes: 1_cumulus, 2_altocumulus, 3_cirrus, 4_clearsky, 5_stratocumulus, 6_cumulonimbus, 7_mixed
2025-06-12 02:41:20 | INFO     | [dataset...:__init__          : 322] | ℹ️ Dataset sizes: 10000 train+val, 9000 test. Total: 0
2025-06-12 02:41:20 | INFO     | [pipeline  :__init__          : 195] | ℹ️   Artifact base key prefix for this run: experiments/GCD/shufflenet/20250612_024120_seed42 (using LocalFileSystemRepository)
2025-06-12 02:41:20 | INFO     | [pipeline  :__init__          : 226] | ℹ️   Using Optimizer: AdamW
2025-06-12 02:41:20 | DEBUG    | [callbacks :get_default_cal...: 194] | 🐞 Default LRScheduler callback instance created with policy: ReduceLROnPlateau, kwargs: {'patience': 2, 'mode': 'min', 'factor': 0.1, 'min_lr': 1e-06, 'verbose': False}, monitor: valid_loss
2025-06-12 02:41:20 | INFO     | [pipeline  :__init__          : 271] | ℹ️   Model Adapter: Initialized with ShuffleNetCloud
2025-06-12 02:41:20 | DEBUG    | [executor  :_validate_methods : 201] | 🐞 Basic method validation successful.
2025-06-12 02:41:20 | INFO     | [executor  :__init__          : 180] | ℹ️ Executor configured to run methods: single_train, single_eval
2025-06-12 02:41:20 | INFO     | [executor  :run               : 257] | ℹ️ Starting execution of methods for Executor Run ID: 20250612_024120_seed42
2025-06-12 02:41:20 | INFO     | [executor  :run               : 266] | ℹ️ --- Running Method 1/2: single_train (Op ID: single_train_0) ---
2025-06-12 02:41:20 | DEBUG    | [executor  :run               : 313] | 🐞 Running method 'single_train' with effective parameters: {'params': {'max_epochs': 50, 'lr': 0.0001, 'batch_size': 64, 'optimizer': 'AdamW', 'optimizer__weight_decay': 0.01, 'callbacks__default_lr_scheduler__policy': 'ReduceLROnPlateau', 'callbacks__default_lr_scheduler__monitor': 'valid_loss', 'callbacks__default_lr_scheduler__patience': 5, 'callbacks__default_lr_scheduler__factor': 0.2, 'callbacks__default_lr_scheduler__min_lr': 1e-07, 'callbacks__default_lr_scheduler__mode': 'min', 'callbacks__default_early_stopping__patience': 10, 'module__pretrained': True}, 'save_model': False, 'val_split_ratio': 0.1, 'results_detail_level': 2}
2025-06-12 02:41:20 | INFO     | [pipeline  :single_train      :1591] | ℹ️ Starting single training run...
2025-06-12 02:41:20 | INFO     | [pipeline  :single_train      :1644] | ℹ️ Using split: 9000 train / 1000 validation samples.
2025-06-12 02:41:20 | INFO     | [pipeline  :single_train      :1651] | ℹ️ Applying custom parameters for this single_train run: {'max_epochs': 50, 'lr': 0.0001, 'batch_size': 64, 'optimizer': 'AdamW', 'optimizer__weight_decay': 0.01, 'callbacks__default_lr_scheduler__policy': 'ReduceLROnPlateau', 'callbacks__default_lr_scheduler__monitor': 'valid_loss', 'callbacks__default_lr_scheduler__patience': 5, 'callbacks__default_lr_scheduler__factor': 0.2, 'callbacks__default_lr_scheduler__min_lr': 1e-07, 'callbacks__default_lr_scheduler__mode': 'min', 'callbacks__default_early_stopping__patience': 10, 'module__pretrained': True}
2025-06-12 02:41:20 | DEBUG    | [param_g...:parse_fixed_hyp...: 151] | 🐞 Created LRScheduler instance: policy=ReduceLROnPlateau, direct_args={'monitor': 'valid_loss'}, constructor_kwargs={'patience': 5, 'factor': 0.2, 'min_lr': 1e-07, 'mode': 'min'}
2025-06-12 02:41:20 | INFO     | [pipeline  :single_train      :1713] | ℹ️ Fitting model (run_id: single_train_024120)...
2025-06-12 02:41:20 | INFO     | [shufflenet:__init__          :  43] | ℹ️ ShuffleNetCloud (based on shufflenet_v2_x1_0) initialized. Pretrained: True. Classifier head: Linear(1024->7)
2025-06-12 02:41:20 | DEBUG    | [adapter   :get_split_datasets: 133] | 🐞 Validation split for fold created with 1000 original samples.
2025-06-12 02:41:20 | DEBUG    | [adapter   :get_split_datasets: 176] | 🐞 No offline augmentations will be applied.
2025-06-12 02:41:20 | DEBUG    | [adapter   :get_split_datasets: 183] | 🐞 Total training split for fold created with 9000 samples.
2025-06-12 02:41:20 | DEBUG    | [adapter   :get_iterator      : 297] | 🐞 Creating DataLoader for training: dataset_len=9000, batch_size=64, shuffle=True, collate_fn_type='function', loader_kwargs={'num_workers': 0, 'pin_memory': False}
2025-06-12 02:41:20 | DEBUG    | [adapter   :get_iterator      : 297] | 🐞 Creating DataLoader for validation/evaluation: dataset_len=1000, batch_size=64, shuffle=False, collate_fn_type='function', loader_kwargs={'num_workers': 0, 'pin_memory': False}
2025-06-12 02:42:24 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️   epoch    train_acc    train_loss    valid_acc    valid_loss   cp       lr      dur
2025-06-12 02:42:24 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️ -------  -----------  ------------  -----------  ------------  ----  ------  -------
2025-06-12 02:42:24 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️       1     ▲ 0.5861      ▼ 1.6588     ▲ 0.7000      ▼ 1.2926        0.0001  64.1542
2025-06-12 02:43:22 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️       2     ▲ 0.6948      ▼ 1.0406     ▲ 0.7350      ▼ 0.8757        0.0001  57.2142
2025-06-12 02:44:19 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️       3     ▲ 0.7308      ▼ 0.8302     ▲ 0.7650      ▼ 0.7070        0.0001  56.793
2025-06-12 02:45:15 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️       4     ▲ 0.7603      ▼ 0.7209     ▲ 0.7820      ▼ 0.6527        0.0001  56.8827
2025-06-12 02:46:11 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️       5     ▲ 0.7807      ▼ 0.6549     ▲ 0.7950      ▼ 0.5760        0.0001  55.7709
2025-06-12 02:47:06 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️       6     ▲ 0.8099      ▼ 0.5746     ▲ 0.8330      ▼ 0.4368        0.0001  54.6526
2025-06-12 02:48:01 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️       7     ▲ 0.8313      ▼ 0.4906     ▲ 0.8510      ▼ 0.4141        0.0001  54.7972
2025-06-12 02:48:58 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️       8     ▲ 0.8354      ▼ 0.4587        0.848      ▼ 0.3883        0.0001  56.7687
2025-06-12 02:49:54 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️       9     ▲ 0.8400      ▼ 0.4446        0.832         0.413        0.0001  56.9159
2025-06-12 02:50:51 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️      10     ▲ 0.8524      ▼ 0.4061        0.849      ▼ 0.3821        0.0001  56.404
2025-06-12 02:51:47 | INFO     | [callbacks :on_epoch_end      : 147] | ℹ️      11     ▲ 0.8567      ▼ 0.3926        0.828        0.4126        0.0001  56.032
