Timestamp             | Level    | Emoji | Location                         | Message
----------------------+----------+----+----------------------------------+---------------------------------------------------
2025-05-02 16:24:57 | INFO     | ℹ️ | [<module>                 :184 ] | Logger 'ImgClassPipe' initialized. Log file: C:\Users\Stefan\Documents\Github\UBB-Y3-AI-Research\model_src\pipeline_v2\logs\classification.log
2025-05-02 16:24:57 | DEBUG    | 🐛 | [<module>                 :2363] | Chosen sequence: [('cv_model_evaluation', {'cv': 5, 'save_results': True})]
2025-05-02 16:24:57 | INFO     | ℹ️ | [__init__                 :2191] | Initializing Pipeline Executor for model 'cnn' on dataset 'mini-GCD'...
2025-05-02 16:24:57 | INFO     | ℹ️ | [__init__                 :1226] | Initializing Classification Pipeline:
2025-05-02 16:24:57 | INFO     | ℹ️ | [__init__                 :1227] |   Dataset Path: C:\Users\Stefan\Documents\Github\UBB-Y3-AI-Research\model_src\data\mini-GCD
2025-05-02 16:24:57 | INFO     | ℹ️ | [__init__                 :1228] |   Model Type: cnn
2025-05-02 16:24:57 | DEBUG    | 🐛 | [_detect_structure        :434 ] | Found 'train' and 'test' directories with matching class subdirectories. Assuming FIXED structure.
2025-05-02 16:24:57 | INFO     | ℹ️ | [__init__                 :383 ] | Detected dataset structure: fixed
2025-05-02 16:24:57 | INFO     | ℹ️ | [_load_fixed_dataset      :542 ] | Loading FIXED dataset from C:\Users\Stefan\Documents\Github\UBB-Y3-AI-Research\model_src\data\mini-GCD\train (train) and C:\Users\Stefan\Documents\Github\UBB-Y3-AI-Research\model_src\data\mini-GCD\test (test)...
2025-05-02 16:24:57 | INFO     | ℹ️ | [_load_fixed_dataset      :553 ] | Train+Validation dataset loaded: 350 samples.
2025-05-02 16:24:57 | INFO     | ℹ️ | [_load_fixed_dataset      :554 ] | Test dataset loaded: 84 samples.
2025-05-02 16:24:57 | DEBUG    | 🐛 | [_load_fixed_dataset      :568 ] | Train/Val split: 280 train, 70 validation indices.
2025-05-02 16:24:57 | DEBUG    | 🐛 | [__init__                 :226 ] | TransformedSubset base dataset is a Subset, accessing underlying dataset attributes.
2025-05-02 16:24:57 | INFO     | ℹ️ | [_load_fixed_dataset      :586 ] | FIXED Dataset loaded: 280 train, 70 validation, 84 test samples.
2025-05-02 16:24:57 | INFO     | ℹ️ | [__init__                 :401 ] | Found 7 classes: 1_cumulus, 2_altocumulus, 3_cirrus, 4_clearsky, 5_stratocumulus, 6_cumulonimbus, 7_mixed
2025-05-02 16:24:57 | INFO     | ℹ️ | [__init__                 :1243] |   Results will be saved to: C:\Users\Stefan\Documents\Github\UBB-Y3-AI-Research\model_src\pipeline_v2\results\mini-GCD\cnn
2025-05-02 16:24:57 | INFO     | ℹ️ | [__init__                 :1259] |   Model Adapter: Initialized with SimpleCNN
2025-05-02 16:24:57 | INFO     | ℹ️ | [__init__                 :1265] | Pipeline initialized successfully for cnn model and fixed dataset structure.
2025-05-02 16:24:57 | ERROR    | ❌ | [<module>                 :2393] | Pipeline initialization or execution failed: Method 'cv_model_evaluation' at index 0 is incompatible with FIXED dataset structure.
Traceback (most recent call last):
  File "C:\Users\Stefan\Documents\Github\UBB-Y3-AI-Research\model_src\pipeline_v2\code_v5.py", line 2367, in <module>
    executor = PipelineExecutor(
               ^^^^^^^^^^^^^^^^^
  File "C:\Users\Stefan\Documents\Github\UBB-Y3-AI-Research\model_src\pipeline_v2\code_v5.py", line 2212, in __init__
    self._validate_methods()
